Pitcher,AutoPitchType,PitchCall,Date
"Allen, Dustin",Curveball,StrikeSwinging,10/5/2023
"Allen, Dustin",Four-Seam,BallCalled,10/5/2023
"Allen, Dustin",Curveball,FoulBall,10/5/2023
"Allen, Dustin",Four-Seam,BallCalled,10/5/2023
"Allen, Dustin",Four-Seam,BallCalled,10/5/2023
,,,
"Gonzalez, Aidan",Sinker,BallCalled,10/5/2023
"Gonzalez, Aidan",Changeup,InPlay,10/5/2023
"Gonzalez, Aidan",Sinker,FoulBall,10/5/2023
"Gonzalez, Aidan",Slider,BallCalled,10/5/2023
"Gonzalez, Aidan",Sinker,FoulBall,10/5/2023
"Gonzalez, Aidan",Changeup,BallCalled,10/5/2023
"Gonzalez, Aidan",Slider,FoulBall,10/5/2023
"Gonzalez, Aidan",Four-Seam,BallCalled,10/5/2023
"Gonzalez, Aidan",Sinker,FoulBall,10/5/2023
"Gonzalez, Aidan",Slider,InPlay,10/5/2023
"Gonzalez, Aidan",Changeup,BallCalled,10/5/2023
"Gonzalez, Aidan",Sinker,StrikeSwinging,10/5/2023
"Gonzalez, Aidan",Sinker,InPlay,10/5/2023
"Gonzalez, Aidan",Changeup,BallCalled,10/5/2023
"Gonzalez, Aidan",Changeup,FoulBall,10/5/2023
"Gonzalez, Aidan",Changeup,BallCalled,10/5/2023
"Gonzalez, Aidan",Four-Seam,InPlay,10/5/2023
"Gonzalez, Aidan",Slider,BallCalled,10/5/2023
"Gonzalez, Aidan",Sinker,BallCalled,10/5/2023
"Gonzalez, Aidan",Slider,BallCalled,10/5/2023
"Gonzalez, Aidan",Four-Seam,StrikeSwinging,10/5/2023
"Gonzalez, Aidan",Sinker,FoulBall,10/5/2023
"Gonzalez, Aidan",Slider,BallCalled,10/5/2023
"Gonzalez, Aidan",Sinker,BallCalled,10/5/2023
"Gonzalez, Aidan",Four-Seam,BallCalled,10/5/2023
"Gonzalez, Aidan",Four-Seam,BallCalled,10/5/2023
"Gonzalez, Aidan",Slider,InPlay,10/5/2023
"Gonzalez, Aidan",Four-Seam,StrikeCalled,10/5/2023
"Gonzalez, Aidan",Changeup,BallCalled,10/5/2023
"Gonzalez, Aidan",Sinker,BallCalled,10/5/2023
"Gonzalez, Aidan",Slider,InPlay,10/5/2023
,,,
"Goodcase, JD",Slider,BallCalled,10/5/2023
"Goodcase, JD",Slider,BallCalled,10/5/2023
"Goodcase, JD",Four-Seam,InPlay,10/5/2023
"Goodcase, JD",Four-Seam,BallCalled,10/5/2023
"Goodcase, JD",Slider,FoulBall,10/5/2023
"Goodcase, JD",Four-Seam,BallCalled,10/5/2023
"Goodcase, JD",Four-Seam,BallCalled,10/5/2023
"Goodcase, JD",Slider,BallCalled,10/5/2023
"Goodcase, JD",Four-Seam,FoulBall,10/5/2023
"Goodcase, JD",Four-Seam,BallCalled,10/5/2023
"Goodcase, JD",Slider,BallCalled,10/5/2023
"Goodcase, JD",Slider,BallCalled,10/5/2023
"Goodcase, JD",Four-Seam,BallCalled,10/5/2023
"Goodcase, JD",Four-Seam,BallCalled,10/5/2023
"Goodcase, JD",Four-Seam,FoulBall,10/5/2023
"Goodcase, JD",Slider,StrikeCalled,10/5/2023
"Goodcase, JD",Four-Seam,FoulBall,10/5/2023
"Goodcase, JD",Slider,BallCalled,10/5/2023
"Goodcase, JD",Slider,InPlay,10/5/2023
"Goodcase, JD",Four-Seam,StrikeCalled,10/5/2023
"Goodcase, JD",Four-Seam,FoulBall,10/5/2023
"Goodcase, JD",Slider,BallCalled,10/5/2023
"Goodcase, JD",Slider,BallCalled,10/5/2023
"Goodcase, JD",Four-Seam,FoulBall,10/5/2023
"Goodcase, JD",Slider,StrikeCalled,10/5/2023
"Goodcase, JD",Four-Seam,BallCalled,10/5/2023
"Goodcase, JD",Slider,StrikeSwinging,10/5/2023
,,,
"Harrison, Dallin",Sinker,StrikeSwinging,10/6/2023
"Harrison, Dallin",Four-Seam,BallCalled,10/6/2023
"Harrison, Dallin",Four-Seam,FoulBall,10/6/2023
"Harrison, Dallin",Changeup,StrikeSwinging,10/6/2023
"Harrison, Dallin",Sinker,StrikeSwinging,10/6/2023
"Harrison, Dallin",Changeup,StrikeCalled,10/6/2023
"Harrison, Dallin",Four-Seam,BallCalled,10/6/2023
"Harrison, Dallin",Changeup,BallCalled,10/6/2023
"Harrison, Dallin",Changeup,StrikeSwinging,10/6/2023
"Harrison, Dallin",Changeup,BallCalled,10/6/2023
"Harrison, Dallin",Sinker,StrikeSwinging,10/6/2023
"Harrison, Dallin",Sinker,BallCalled,10/6/2023
"Harrison, Dallin",Four-Seam,FoulBall,10/6/2023
"Harrison, Dallin",Changeup,BallCalled,10/6/2023
"Harrison, Dallin",Four-Seam,FoulBall,10/6/2023
"Harrison, Dallin",Changeup,FoulBall,10/6/2023
"Harrison, Dallin",Four-Seam,InPlay,10/6/2023
"Harrison, Dallin",Four-Seam,StrikeCalled,10/6/2023
"Harrison, Dallin",Changeup,BallCalled,10/6/2023
"Harrison, Dallin",Four-Seam,BallCalled,10/6/2023
"Harrison, Dallin",Changeup,BallCalled,10/6/2023
"Harrison, Dallin",Changeup,FoulBall,10/6/2023
"Harrison, Dallin",Changeup,BallCalled,10/6/2023
"Harrison, Dallin",Four-Seam,FoulBall,10/6/2023
"Harrison, Dallin",Changeup,InPlay,10/6/2023
"Harrison, Dallin",Four-Seam,BallCalled,10/6/2023
"Harrison, Dallin",Changeup,BallCalled,10/6/2023
"Harrison, Dallin",Four-Seam,InPlay,10/6/2023
,,,
"Kysar, Ryan",Four-Seam,BallCalled,10/5/2023
"Kysar, Ryan",Four-Seam,FoulBall,10/5/2023
"Kysar, Ryan",Splitter,StrikeCalled,10/5/2023
"Kysar, Ryan",Splitter,InPlay,10/5/2023
"Kysar, Ryan",Slider,BallCalled,10/5/2023
"Kysar, Ryan",Slider,BallCalled,10/5/2023
"Kysar, Ryan",Four-Seam,FoulBall,10/5/2023
"Kysar, Ryan",Four-Seam,InPlay,10/5/2023
"Kysar, Ryan",Splitter,BallCalled,10/5/2023
"Kysar, Ryan",Four-Seam,BallCalled,10/5/2023
"Kysar, Ryan",Slider,BallCalled,10/5/2023
"Kysar, Ryan",Four-Seam,StrikeCalled,10/5/2023
"Kysar, Ryan",Changeup,InPlay,10/5/2023
"Kysar, Ryan",Slider,BallCalled,10/5/2023
"Kysar, Ryan",Four-Seam,BallCalled,10/5/2023
"Kysar, Ryan",Slider,InPlay,10/5/2023
"Kysar, Ryan",Four-Seam,InPlay,10/5/2023
"Kysar, Ryan",Slider,FoulBall,10/5/2023
"Kysar, Ryan",Changeup,FoulBall,10/5/2023
"Kysar, Ryan",Four-Seam,BallCalled,10/5/2023
"Kysar, Ryan",Slider,BallCalled,10/5/2023
"Kysar, Ryan",Four-Seam,InPlay,10/5/2023
"Kysar, Ryan",Splitter,StrikeCalled,10/5/2023
"Kysar, Ryan",Slider,StrikeSwinging,10/5/2023
"Kysar, Ryan",Changeup,BallCalled,10/5/2023
"Kysar, Ryan",Slider,BallCalled,10/5/2023
"Kysar, Ryan",Changeup,StrikeSwinging,10/5/2023
"Kysar, Ryan",Four-Seam,InPlay,10/5/2023
,,,
"LaMaison, Tristan",Changeup,BallCalled,10/5/2023
"LaMaison, Tristan",Four-Seam,FoulBall,10/5/2023
"LaMaison, Tristan",Curveball,BallCalled,10/5/2023
"LaMaison, Tristan",Curveball,InPlay,10/5/2023
"LaMaison, Tristan",Four-Seam,InPlay,10/5/2023
"LaMaison, Tristan",Changeup,BallCalled,10/5/2023
"LaMaison, Tristan",Changeup,StrikeCalled,10/5/2023
"LaMaison, Tristan",Four-Seam,FoulBall,10/5/2023
"LaMaison, Tristan",Changeup,InPlay,10/5/2023
"LaMaison, Tristan",Four-Seam,InPlay,10/5/2023
"LaMaison, Tristan",Changeup,StrikeCalled,10/5/2023
"LaMaison, Tristan",Slider,FoulBall,10/5/2023
"LaMaison, Tristan",Curveball,BallCalled,10/5/2023
"LaMaison, Tristan",Sinker,BallCalled,10/5/2023
"LaMaison, Tristan",Changeup,BallCalled,10/5/2023
"LaMaison, Tristan",Changeup,StrikeCalled,10/5/2023
